sentence,ambiguity_type,interpretation_1,interpretation_2,interpretation_3
The girl watched the boy with the telescope,PP-ATTACH,The girl had a telescope,The boy had a telescope,
She values reading books more than her brother,COMPARE,She values reading books more than she values her brother,She values reading books more than her brother values reading books,
She values helping her mother more than her father,COMPARE,She values helping her mother more than her father values helping her mother,She values helping her mother more than she values helping her father,
The teacher likes helping students more than the principal,COMPARE,The teacher prefers helping students more than the principal prefers helping students,The teacher prefers helping students more than helping the principal,
The teacher likes helping students more than cleaning the whiteboard,COMPARE,The teacher prefers helping students to cleaning the whiteboard,The teacher likes helping students more than the whiteboard-cleaning activity does,
We enjoy meeting clients more than our competitors,COMPARE,We enjoy meeting clients more than we enjoy meeting our competitors,We enjoy meeting clients more than our competitors,
The old women and men gathered in the hall,COORD,Old women and men gathered,Old women and men (not necessarily old) gathered,
The chicken is ready to eat,LEXICAL,The chicken is prepared/cooked and ready to be eaten,The chicken (as an animal) is ready to consume food,
The dog is ready to eat,LEXICAL,The dog is prepared/cooked and ready to be eaten,The dog (as an animal) is ready to consume food,
The revolution is before us,TEMPORAL,The revolution is in our future,The revolution is physically in front of us,The revolution is our responsibility
The meeting originally scheduled for next Wednesday has been moved forward two days,TEMPORAL,The meeting is now next Monday,The meeting is now next Friday,
"When the police stopped the drivers, they were drunk",PRONOUN,The drivers were drunk,The police were drunk,
Sarah told Emily that she got the promotion,PRONOUN,Sarah got the promotion,Emily got the promotion,
I like visiting relatives more than my sister,COMPARE,I like visiting relatives more than my sister likes visiting relatives,I like visiting relatives more than I like visiting my sister,
He's more afraid of spiders than his wife,COMPARE,He is more afraid of spiders than his wife is,He is more afraid of spiders than he is afraid of his wife,
I saw her duck,STRUCT,I saw her lower her head,I saw a duck that belongs to her,
The project deadline was pushed ahead by one week,TEMPORAL,The deadline was made earlier,The deadline was delayed,
The flight departure was set back three hours,TEMPORAL,The departure was delayed three hours,The departure was moved to an earlier time,
The love of God is powerful,LEXICAL,God's love is powerful,People's love for God is powerful,
The photographing of celebrities has become invasive,STRUCT,People photographing celebrities has become invasive,Celebrities photographing others has become invasive,
Chocolate cakes and cookies were served,COORD,Chocolate cakes and chocolate cookies were served (both are chocolate),Chocolate cakes and cookies (of any flavor) were served,
Red velvet cake and cookies were served,COORD,Red velvet cakes and red velvet cookies were served (both are red velvet),Red velvet cakes and cookies (of any flavor) were served,
Entertaining guests can be exhausting,LEXICAL,The act of entertaining guests can be exhausting,Guests who are entertaining can be exhausting,
We moved the party up from Saturday,TEMPORAL,The party is now earlier,The party now later,
I respect my mentor more than my colleague,COMPARE,I respect my mentor more than I respect my colleague,I respect my mentor more than my colleague respects my mentor,
Call me a taxi,LEXICAL,Summon a taxi for me,Refer to me as a taxi,
Call me a bad driver,LEXICAL,Phone/summon a bad driver for me,Refer to me as a bad driver,
Flying planes can be dangerous,LEXICAL,Piloting planes is dangerous,Planes that are flying can be dangerous,
He fed her cat food,LEXICAL,He fed food to her cat,He fed her (a person) some cat food,
The peasants are revolting,LEXICAL,The peasants are staging a revolt,The peasants are disgusting,
Look at the dog with one eye,PP-ATTACH,Look at the dog using one of your eyes,Look at the dog that has only one eye,
"I am glad I am a man, and so is Dakota",PRONOUN,Dakota is also glad that I am a man,Dakota is also a man,
The criticism of the professor was harsh,STRUCT,Criticism directed at the professor was harsh,The professor's criticism of others was harsh,
Students who study rarely get bad grades,SCOPE,Students who rarely study get bad grades,Students who study get bad grades rarely,
She decided on the boat,PP-ATTACH,She made her decision while on the boat,She chose the boat,
We saw the Eiffel Tower flying to Paris,PP-ATTACH,We saw the Eiffel Tower while we were flying to Paris,We saw the Eiffel Tower that was flying to Paris,
They are hunting dogs,LEXICAL,They are dogs used for hunting,They are hunting for dogs,
They are hunting deer,LEXICAL,They are deer used for hunting,They are hunting for deer,
I saw the man with the binoculars,PP-ATTACH,I used binoculars to see the man,I saw the man who had binoculars,
The Mayor says the police must stop drinking,PRONOUN,The police must stop consuming alcohol,The police must prevent others from drinking,
He didn't leave because he was angry,PRONOUN,He left but not because he was angry,He didn't leave; the reason is that he was angry,
Two students read every book,SCOPE,Two specific students read all the books,"For every book, there are two students who read it",
The shooting of the hunters was terrible,STRUCT,Someone shooting the hunters was terrible,The hunters doing the shooting was terrible,
The shooting of the deer was terrible,STRUCT,Someone shooting the deer was terrible,The deer doing the shooting was terrible,
John and Mary got married,RECIPROCAL,John and Mary married each other,They each married someone (but not each other),
Katelyn and Diana got married,RECIPROCAL,Katelyn and Diana married each other,They each married someone (but not each other),
All the students didn't pass the exam,SCOPE,Not all students passed (some failed),All students failed the exam,
I didn't go to the store because I was tired,CAUSAL,I went to the store but tiredness wasn't the reason,I stayed home because I was tired,
She didn't call him back because she was busy,CAUSAL,She called him back but not due to being busy,She didn't call him back; being busy was the reason,
A doctor examined every patient,SCOPE,One doctor examined all patients,"For each patient, some doctor (possibly different) examined them",
The discovery of the scientists changed everything,STRUCT,What the scientists discovered changed everything,Someone's discovery of the scientists changed everything,
